Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_min,salary_max,salary_avg,experience_years,city,city_grouped,skills_count,has_technical_skills,has_management_skills,Job Type_encoded,Career Level_encoded,Minimum Education_encoded,Gender_encoded,city_grouped_encoded,Functional Area_encoded
Manager HR,"PKR. 50,000 - 70,000/Month",Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,7-Jan-25,2 Years,Bachelors,Female,,"Payroll Management, Employee Relations  Management, Talent Acquisition, HR Policies Command",50000.0,70000.0,60000.0,2.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,4,False,True,1,2,0,0,2,14
Full Stack Developer - PHP,"PKR. 125,000 - 200,000/Month",Full Time/Permanent,"Allama Iqbal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,7-Jan-25,3 Years,Bachelors,No Preference,24 - 42 Years,"MySQL, Javascript, jQuery, HTML5, Codeigniter, WP CLI",125000.0,200000.0,162500.0,3.0,Allama Iqbal Town,Other,6,True,False,1,2,0,2,8,37
Digital Marketing / Google Specialist,"PKR. 70,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,7-Jan-25,4 Years,Bachelors,No Preference,,"Meta Ads, Google Ads Words, Digital Marketing Analysis, Google Analytics, Pay Per Call, Google Trends Knowledge",70000.0,100000.0,85000.0,4.0,Islamabad,Islamabad,6,False,False,1,2,0,2,3,22
Executive Assistant To Director,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Paragon City, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Experienced Professional,7-Jan-25,0 Years,Bachelors,Male,20 - 35 Years,"Communication Skills, General Assignment Reporting, MS Excel",30000.0,40000.0,35000.0,0.0,Paragon City,Other,3,False,False,1,2,0,1,8,35
Pakistan Stock Exchange / Commodities Exchange Consultant,"PKR. 20,000 - 80,000/Month",Full Time/Permanent,"Lower Mall, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,5 Years,Intermediate/A-Level,No Preference,,"Digital Marketing Management, Telemarketing  Skills, Commodity Markets Knowledge, Commodity Risk Management, Stock Market Analysis, Stock Market Knowledge",20000.0,80000.0,50000.0,5.0,Lower Mall,Other,6,False,True,1,2,4,2,8,0
Financial Data Analyst,"PKR. 50,000 - 100,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,7-Jan-25,0 Years,Bachelors,No Preference,20 - 35 Years,"Admin Operations Management, Financial Reconciliation, Data Reconciliation, Data Management, Financial Analysis, Data Analytics",50000.0,100000.0,75000.0,0.0,Lahore,Lahore,6,False,True,1,2,0,2,7,0
Flutter Developer - Mid Level,"PKR. 35,000 - 50,000/Month",Full Time/Permanent,"Model Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,7-Jan-25,2 Years,Bachelors,No Preference,,"Firebase, Mobile App Development, Flutter",35000.0,50000.0,42500.0,2.0,Model Town,Other,3,False,False,1,1,0,2,8,37
Subject Teacher,"PKR. 20,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,7-Jan-25,3 Years,Bachelors,No Preference,,"Student Management, Fluent in English, Classroom Management",20000.0,40000.0,30000.0,3.0,Lahore,Lahore,3,False,True,1,2,0,2,7,39
Building Inspector,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Paragon City, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Experienced Professional,7-Jan-25,0 Years,Diploma,Male,25 - 45 Years,"Process Flow Documentation, Engineering Drawings, Building Inspections",45000.0,60000.0,52500.0,0.0,Paragon City,Other,3,False,False,1,2,2,1,8,3
Chief Financial Officer - Real Estate,"PKR. 200,000 - 300,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,7-Jan-25,6 Years,Bachelors,No Preference,,"Financial Management, Operations Oversight, Communication Skills",200000.0,300000.0,250000.0,6.0,Lahore,Lahore,3,False,True,1,2,0,2,7,0
Sales Executive,"PKR. 35,000 - 80,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,7-Jan-25,0 Years,Masters,No Preference,24 - 26 Years,"Sales Management, Time Management, Communication Skills, Retail Products Knowledge",35000.0,80000.0,57500.0,0.0,Gulberg 3,Gulberg 3,4,False,True,1,2,7,2,1,33
Store Hygiene Manager,"PKR. 100,000 - 125,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,7-Jan-25,4 Years,Bachelors,No Preference,,"Incident Management, Hygienic Management, Communication Skills",100000.0,125000.0,112500.0,4.0,Jhelum,Jhelum,3,False,True,1,2,0,2,4,41
Key Account Associate,"PKR. 25,000 - 40,000/Month",Full Time/Permanent,"Punjab Cooperative, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,7-Jan-25,Less than 1 Year,Intermediate/A-Level,Female,,"Communication Skills, Marketing Management, Key Account Management, Key Account Acquisition",25000.0,40000.0,32500.0,1.0,Punjab Cooperative,Other,4,False,True,1,1,4,0,8,33
Computer Operator,"PKR. 20,000 - 25,000/Month",Full Time/Permanent,"Ghari Shahu, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,7-Jan-25,3 Years,Intermediate/A-Level,No Preference,,"Computer Proficient, Communication Skills, Typing Speed",20000.0,25000.0,22500.0,3.0,Ghari Shahu,Other,3,False,False,1,2,4,2,8,8
Digital Marketing Specialist,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"ICT,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,7-Jan-25,Less than 1 Year,Bachelors,Female,,"Digital Marketing Analysis, Social Media Management, Content Creation",25000.0,30000.0,27500.0,1.0,ICT,Other,3,False,True,1,1,0,0,8,22
Junior React / Next Js Developer,"PKR. 20,000 - 25,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,7-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Javascript, React JS, Next Js, Node, Redux, JSX",20000.0,25000.0,22500.0,1.0,Johar Town,Johar Town,6,True,False,1,1,0,2,5,37
Customer Sales Representative,"PKR. 15,000 - 35,000/Month",Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Experienced Professional,7-Jan-25,0 Years,Intermediate/A-Level,Female,,"Travels Knowledge, Communication Skills, Fluent in English",15000.0,35000.0,25000.0,0.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,3,False,False,1,2,4,0,2,40
Customer Support Officer,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,7-Jan-25,0 Years,Bachelors,Male,,"Communication Skills, Fluent in English, Travels Knowledge",40000.0,50000.0,45000.0,0.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,3,False,False,1,1,0,1,2,4
Office Assistant - Intern,"PKR. 15,000 - 30,000/Month",Internship,"Gulberg, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Intern/Student,4-Jan-25,0 Years,Intermediate/A-Level,No Preference,21 - 24 Years,"Pricing Analysis, Procurement Knowleddge, Analytical Skills, Admin Operations Management, Data Management, Communication Skills",15000.0,30000.0,22500.0,0.0,Gulberg,Other,6,False,True,2,3,4,2,8,35
Manager Admin - Maintenance,"PKR. 125,000 - 150,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,7-Jan-25,3 Years,Bachelors,Male,,"Administrative Management, Maintenance Management, Admin Task Handling",125000.0,150000.0,137500.0,3.0,Jhelum,Jhelum,3,False,True,1,2,0,1,4,1
HR Manager,"PKR. 70,000 - 80,000/Month",Full Time/Permanent,"Allama Iqbal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,7-Jan-25,0 Years,Bachelors,Male,28 - 34 Years,"Payroll Processing, HR Policies Command, Human Resource Management",70000.0,80000.0,75000.0,0.0,Allama Iqbal Town,Other,3,False,True,1,2,0,1,8,14
Customer Service Representative,"PKR. 70,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,7-Jan-25,1 Year,Bachelors,No Preference,,"Communication Skills, Capital Goods Knowledge, Fluent in English",70000.0,100000.0,85000.0,1.0,Islamabad,Islamabad,3,False,False,1,1,0,2,3,4
Bookkeeper,"PKR. 20,000 - 35,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,7-Jan-25,Fresh (experience working with a UK based),Matriculation/O-Level,No Preference,,"Admin Operations Management, VT Accounting Software, Xero Operating Software Command, Sage Accounts Production",20000.0,35000.0,27500.0,0.0,Islamabad,Islamabad,4,False,True,1,1,8,2,3,0
Demand / Replenishment Planner,"PKR. 150,000 - 200,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Supply Chain Management,Experienced Professional,7-Jan-25,4 Years,Masters,No Preference,,"Inventory Management, Replenishment Planning, Demand Forecasting",150000.0,200000.0,175000.0,4.0,Karachi,Karachi,3,False,True,1,2,7,2,6,38
Mixing Machine Operator,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Korangi Creek Cantonment, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Entry Level,7-Jan-25,Less than 1 Year,Intermediate/A-Level,Male,25 - 37 Years,"Machine Operation, Safety Awareness, Maintenance Skills",35000.0,40000.0,37500.0,1.0,Korangi Creek Cantonment,Other,3,False,False,1,1,4,1,8,16
Front Desk Manager,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"Rehman Pura, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,7-Jan-25,1 Year,Intermediate/A-Level,Female,,"Communication Skills, MS Excel, Front Office Support",25000.0,30000.0,27500.0,1.0,Rehman Pura,Other,3,False,False,1,1,4,0,8,35
Affiliate Support Manager,"PKR. 100,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,7-Jan-25,1 Year,Intermediate/A-Level,No Preference,25 - 35 Years,"Communication Skills, Analytical Skills, Affiliate Management",100000.0,200000.0,150000.0,1.0,Islamabad,Islamabad,3,False,True,1,1,4,2,3,4
Sales Representative - Medical,"PKR. 40,000 - 70,000/Month",Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,7-Jan-25,2 Years,Intermediate/A-Level,Male,,"Pharmaceutical Sales, Medical Sales, Communication Skills",40000.0,70000.0,55000.0,2.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,3,False,False,1,2,4,1,2,33
Accounts Officer,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Multan,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,7-Jan-25,0 Years,Bachelors,No Preference,,"Accounts Payments Handling, Field Task Management, Voucher Management",30000.0,40000.0,35000.0,0.0,Multan,Other,3,False,True,1,1,0,2,8,0
Integration Specialist,"PKR. 450,000 - 700,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Entry Level,7-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Keitaro, Javascript, Executing Content",450000.0,700000.0,575000.0,1.0,Islamabad,Islamabad,3,True,False,1,1,4,2,3,5
SEO Expert,"PKR. 30,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,7-Jan-25,3 Years,Bachelors,No Preference,,"eCommerce  SEO, SEO Audits, SEO Engine Ranking, Digital Marketing Management",30000.0,80000.0,55000.0,3.0,Islamabad,Islamabad,4,False,True,1,2,0,2,3,34
Customer Support Executive,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,7-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Customer Satisfaction Management, Customer Acquisition Skills, Customer Analysis",25000.0,30000.0,27500.0,0.0,Gulberg 3,Gulberg 3,3,False,True,1,1,4,2,1,4
Admin Operations Coordinator,"PKR. 30,000 - 35,000/Month",Full Time/Permanent,"Daska Road, 
                                                                                                                                                                                                                                                                                                            Sialkot,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Entry Level,7-Jan-25,1 Year,Bachelors,No Preference,,"Communication Skills, تقييم المناهج الدراسية, Admin Operations Management",30000.0,35000.0,32500.0,1.0,Daska Road,Other,3,False,True,1,1,0,2,8,1
Planning Executive - Finance,"PKR. 50,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,7-Jan-25,2 Years,Bachelors,No Preference,,"Planning Executive Finance, Admin Operations Management, Communication Skills",50000.0,100000.0,75000.0,2.0,Islamabad,Islamabad,3,False,True,1,2,0,2,3,0
Sales Verifier,"PKR. 100,000 - 150,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,5-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,15 - 35 Years,"Telemarketing  Skills, Email List Management, Sales Verification",100000.0,150000.0,125000.0,1.0,Islamabad,Islamabad,3,False,True,1,1,4,2,3,33
Receptionist,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,6-Jan-25,1 Year,Intermediate/A-Level,Female,,"Front Desk Management, Time Management Skills, Multitasking Skills, Organizational Skills, Computer Proficiency",20000.0,30000.0,25000.0,1.0,Lahore,Lahore,5,False,True,1,1,4,0,7,35
Chat Support Representative,"PKR. 10,000 - 15,000/Month",Part Time,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Intern/Student,7-Jan-25,0 Years,Matriculation/O-Level,No Preference,15 - 26 Years,"Chat Support Skills, Social Media Chat Support, Digital Marketing Analysis, Telemarketing  Skills",10000.0,15000.0,12500.0,0.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,4,False,False,3,3,8,2,2,4
Facebook Marketer,"PKR. 10,000 - 15,000/Month",Internship,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Intern/Student,7-Jan-25,0 Years,Bachelors,No Preference,,"Telemarketing  Skills, End to End Sales, Digital Marketing Management",10000.0,15000.0,12500.0,0.0,Gulshan-e-Iqbal,Gulshan-e-Iqbal,3,False,True,2,3,0,2,2,22
Web Designer,"PKR. 25,000 - 70,000/Month",Full Time/Permanent,"Allama Iqbal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,7-Jan-25,3 Years,Masters,No Preference,,"Communication Skills, Executing Content, SEO, Web Analytics",25000.0,70000.0,47500.0,3.0,Allama Iqbal Town,Other,4,False,False,1,2,7,2,8,37
Compliance Executive,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,6-Jan-25,0 Years,Bachelors,No Preference,,"Compliance Assurance, Compliance Implementation, Compliance Analysis",60000.0,70000.0,65000.0,0.0,Islamabad,Islamabad,3,False,False,1,1,0,2,3,4
Sales Coordinator,"PKR. 25,000 - 60,000/Month",Full Time/Permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,7-Jan-25,2 Years,Diploma,Male,,"ERP Software Command, MS Excel, Relations Management Skills, Field Task Management",25000.0,60000.0,42500.0,2.0,Korangi Industrial Area,Other,4,False,True,1,2,2,1,8,33
Accounts Payable Specialist,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,7-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Accounting Software Command, Data Management, Accounts Management Skills",60000.0,70000.0,65000.0,1.0,Islamabad,Islamabad,3,False,True,1,1,4,2,3,0
Collections Specialist,"PKR. 60,000 - 60,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Entry Level,7-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Collections Handling, Admin Operations Management, Health Care Analytics",60000.0,60000.0,60000.0,1.0,Islamabad,Islamabad,3,False,True,1,1,0,2,3,12
Podcast Host,"PKR. 20,000 - 50,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Media - Print & Electronic,Entry Level,7-Jan-25,0 Years,Bachelors,Female,,"Communication Skills, Coordination Skills, Adobe Premiere Pro",20000.0,50000.0,35000.0,0.0,Johar Town,Johar Town,3,False,False,1,1,0,0,5,23
Customer Relationship Officer,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Egerton Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,6-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Custom CRM, Customer Service Skills, Customer Care Representation",50000.0,60000.0,55000.0,1.0,Egerton Road,Other,3,False,False,1,1,4,2,8,4
Product / Industrial Designer,"PKR. 10,000 - 50,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,7-Jan-25,0 Years,Bachelors,Female,18 - 30 Years,"Graphics Editing, Graphics Design, Autodesk 3ds Max",10000.0,50000.0,30000.0,0.0,Lahore,Lahore,3,False,False,1,1,0,0,7,7
Fashion Designer,"PKR. 100,000 - 150,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,7-Jan-25,2 Years,Bachelors,No Preference,,"Fashion History Knowledge, Technical  Design Skills, Fashion Illustration",100000.0,150000.0,125000.0,2.0,Islamabad,Islamabad,3,False,False,1,2,0,2,3,7
Lead Generation Expert,"PKR. 25,000 - 30,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,7-Jan-25,Less than 1 Year,Bachelors,Female,,"Proposal  Writing, Lead Generation, Google Ads, Facebook Ads, Email Marketing",25000.0,30000.0,27500.0,1.0,Islamabad,Islamabad,5,False,False,1,1,0,0,3,33
Storekeeper,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,7-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Store Management, Store Operations  Management, Store Knowledge",40000.0,50000.0,45000.0,0.0,Islamabad,Islamabad,3,False,True,1,2,4,2,3,41
Senior Sales Executive,"PKR. 70,000 - 100,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,7-Jan-25,1 Year,Intermediate/A-Level,No Preference,18 - 35 Years,"Sales Skill, Fluent in English, Sales Automation",70000.0,100000.0,85000.0,1.0,Islamabad,Islamabad,3,False,False,1,1,4,2,3,33
